epochs,loss
1,0.0224211
2,0.0100579
3,0.00562955
4,0.00258061
5,0.00100716
6,0.000378724
7,0.00017778
8,9.62932e-05
9,6.01965e-05
10,4.08989e-05
11,3.06711e-05
12,2.35755e-05
13,1.78676e-05
14,1.58364e-05
15,1.26142e-05
16,1.33674e-05
17,2.21948e-05
18,9.42081e-06
19,0.000380175
20,7.76488e-05
21,5.27348e-06
22,4.54656e-06
23,6.37412e-06
24,1.20409e-05
25,1.31855e-05
26,9.11957e-06
27,0.000261538
28,5.20437e-06
29,1.17465e-05
30,2.21063e-05
31,2.61006e-06
32,2.94284e-05
33,0.000191174
34,5.07378e-06
35,1.36132e-05
36,2.08143e-06
37,2.16686e-06
38,0.000199326
39,9.21118e-05
40,1.06427e-06
41,5.9667e-06
42,1.61639e-05
43,0.000195555
44,0.000110433
45,9.7651e-06
46,1.63493e-06
47,7.35483e-07
48,2.85947e-06
49,1.47283e-06
50,0.000301859
51,0.000242909
52,7.23435e-07
53,5.47593e-07
54,7.0409e-07
55,6.22579e-07
56,7.42655e-07
57,9.00243e-07
58,7.11938e-07
59,2.77074e-05
60,0.000941328
61,1.60076e-05
62,3.54136e-07
63,3.67185e-07
64,4.14979e-07
65,3.70361e-07
66,3.63564e-07
67,3.87939e-07
68,3.29952e-07
69,3.78722e-07
70,5.65058e-07
71,1.58408e-06
72,1.61521e-06
73,6.29045e-06
74,3.71782e-06
75,5.01822e-05
76,4.23811e-06
77,0.000324781
78,3.76553e-05
79,2.751e-07
80,2.07543e-07
81,2.6504e-07
82,2.35163e-07
83,3.56796e-07
84,4.48365e-07
85,4.53104e-07
86,0.000117543
87,0.000182206
88,2.55478e-07
89,2.49693e-07
90,1.94603e-07
91,2.30129e-07
92,3.61173e-07
93,3.71219e-06
94,2.97002e-07
95,7.59168e-07
96,1.72804e-06
97,0.000413686
98,4.67903e-07
99,1.02765e-07
100,1.12676e-07
101,1.00018e-07
102,1.03992e-07
103,1.4248e-07
104,1.77125e-07
105,3.07929e-07
106,4.23398e-07
107,2.83762e-07
108,1.9631e-05
109,7.00046e-05
110,1.96163e-07
111,9.08786e-08
112,1.53058e-07
113,0.000543424
114,1.02118e-06
115,5.20912e-08
116,4.94116e-08
117,5.87377e-08
118,6.0895e-08
119,6.81415e-08
120,7.06477e-08
121,5.73193e-08
122,1.47092e-07
123,8.13633e-08
124,7.02381e-07
125,4.45357e-07
126,1.53251e-07
127,3.87219e-06
128,3.07412e-05
129,6.35589e-07
130,3.55521e-07
131,2.47201e-05
132,0.000251822
133,4.76181e-08
134,4.47228e-08
135,3.7325e-08
136,4.94923e-08
137,4.89902e-08
138,8.26069e-08
139,9.71263e-08
140,7.23569e-08
141,3.04154e-07
142,2.07199e-07
143,3.93072e-07
144,7.11919e-05
145,3.55413e-07
146,6.81382e-08
147,6.76021e-08
148,1.8939e-07
149,2.09092e-07
150,0.000124654
151,9.79665e-06
152,5.06133e-08
153,4.55883e-08
154,5.25842e-08
155,6.37375e-08
156,1.85571e-07
157,4.70431e-07
158,2.5594e-07
159,4.11461e-07
160,4.24417e-07
161,7.75983e-06
162,0.000562462
163,1.87597e-07
164,1.02335e-07
165,7.88465e-08
166,6.32851e-08
167,5.63332e-08
168,5.27589e-08
169,5.12137e-08
170,4.65532e-08
171,1.08615e-07
172,1.12098e-07
173,2.73688e-07
174,6.35043e-08
175,1.17062e-07
176,1.62503e-07
177,4.35568e-08
178,4.73446e-08
179,4.1922e-08
180,6.32293e-08
181,4.39546e-08
182,7.12006e-08
183,1.44559e-07
184,7.30685e-08
185,1.1278e-07
186,8.75415e-07
187,4.0987e-07
188,5.92185e-07
189,1.1561e-07
190,3.62399e-07
191,2.05307e-07
192,7.57284e-06
193,2.19753e-06
194,1.43997e-07
195,1.74859e-07
196,2.2929e-07
197,1.03224e-05
198,1.6977e-05
199,9.13485e-08
200,4.68838e-08
201,3.48918e-08
202,5.02497e-08
203,4.51255e-08
204,5.10725e-08
205,7.78579e-08
206,1.24666e-07
207,5.44649e-07
208,3.02625e-06
209,2.50789e-06
210,5.61769e-07
211,1.38411e-06
212,9.81585e-06
213,8.06357e-07
214,1.42857e-07
215,9.08602e-08
216,1.29152e-06
217,4.31161e-06
218,1.83327e-07
219,4.49088e-07
220,3.92183e-06
221,3.48728e-06
222,9.90172e-08
223,1.84994e-07
224,8.85194e-07
225,4.02901e-07
226,5.94915e-05
227,6.56747e-08
228,4.69982e-08
229,3.77822e-08
230,3.66657e-08
231,3.62685e-08
232,4.90151e-08
233,3.49274e-08
234,1.1067e-07
235,9.23779e-08
236,1.17107e-07
237,4.01013e-06
238,3.15253e-07
239,1.90972e-07
240,1.0709e-07
241,4.88247e-07
242,1.24338e-06
243,1.03866e-06
244,2.28305e-08
245,2.58346e-08
246,2.15697e-07
247,3.34523e-08
248,7.1915e-08
249,3.14637e-08
250,4.98235e-08
251,9.29507e-08
252,2.88783e-07
253,3.11065e-06
254,1.91277e-06
255,4.04868e-08
256,3.09536e-08
257,5.50354e-08
258,9.10457e-08
259,6.73889e-08
260,5.76624e-08
261,2.67086e-07
262,8.63457e-07
263,8.98074e-08
264,9.40979e-08
265,2.17639e-07
266,5.83925e-06
267,4.54117e-08
268,3.7383e-08
269,2.76835e-08
270,3.40871e-08
271,3.10436e-08
272,5.87948e-08
273,1.03925e-07
274,5.69631e-08
275,7.30401e-07
276,4.41239e-06
277,2.15906e-08
278,3.17625e-08
279,5.99451e-08
280,8.84624e-08
281,3.80866e-08
282,1.54209e-07
283,1.72767e-06
284,5.75038e-07
285,6.2004e-08
286,1.37922e-07
287,4.0378e-08
288,1.21499e-06
289,5.63209e-07
290,2.94959e-08
291,3.57567e-08
292,9.22939e-08
293,1.72646e-06
294,5.73964e-08
295,1.29326e-07
296,7.4458e-08
297,9.7007e-08
298,3.10406e-07
299,7.05503e-07
300,5.42236e-07
301,6.15432e-07
302,8.16689e-08
303,7.2226e-08
304,2.41123e-07
305,1.34142e-06
306,6.99481e-08
307,4.59492e-08
308,2.58046e-07
309,4.90313e-07
310,1.09588e-07
311,6.05577e-08
312,3.63344e-07
313,1.29206e-06
314,4.17102e-06
315,2.96555e-08
316,2.84356e-08
317,2.08531e-07
318,4.91369e-08
319,1.79217e-08
320,1.89574e-08
321,2.06152e-08
322,1.8827e-08
323,1.67763e-08
324,2.94322e-08
325,2.75012e-08
326,3.09429e-08
327,2.4676e-08
328,3.40028e-08
329,5.41416e-08
330,1.01072e-07
331,7.57875e-08
332,4.53564e-07
333,2.86892e-08
334,4.28733e-08
335,2.33604e-08
336,3.94409e-07
337,1.63437e-07
338,3.4998e-08
339,3.48668e-08
340,6.48113e-08
341,1.77206e-07
342,1.08894e-07
343,6.92998e-08
344,8.82528e-07
345,5.17392e-08
346,2.84365e-08
347,4.18124e-08
348,3.79783e-08
349,4.08324e-08
350,4.6119e-08
351,5.83602e-08
352,7.64e-08
353,4.37675e-07
354,3.05396e-08
355,4.07687e-08
356,9.31384e-08
357,5.91438e-08
358,3.50968e-08
359,1.12748e-07
360,4.48315e-07
361,2.68157e-07
362,2.15643e-08
363,3.21856e-08
364,3.94119e-08
365,1.53835e-08
366,1.68267e-08
367,1.58322e-08
368,1.89601e-08
369,1.88082e-08
370,4.08448e-08
371,1.73335e-08
372,2.42038e-08
373,2.51648e-08
374,1.14185e-07
375,2.59096e-07
376,1.73812e-07
377,1.56433e-08
378,1.6813e-08
379,1.63933e-08
380,1.72616e-08
381,2.33759e-08
382,1.96395e-08
383,2.14646e-08
384,3.00387e-08
385,6.19665e-08
386,7.52357e-08
387,1.85736e-08
388,2.60082e-08
389,4.3335e-08
390,2.93821e-08
391,9.95205e-08
392,3.03934e-08
393,1.86144e-08
394,2.45621e-08
395,4.82706e-08
396,3.09053e-08
397,3.20945e-08
398,2.09335e-08
399,7.02916e-08
400,6.03961e-07
401,1.56231e-08
