x,Dy,Rz
0,0,0
0.125,-0.686817360297709,-8.01353531602765
0.25,-1.98546256604764,-11.293186576783
0.375,-3.55727477322214,-12.9399108994856
0.5,-5.27449368034902,-13.8878456171489
0.625,-7.07910880071552,-14.4902660690186
0.75,-8.94121557681153,-14.9032118557087
0.875,-10.8439076052201,-15.2038836700126
1,-12.7769363989092,-15.4339330900779
1.125,-14.7337416257278,-15.6174003377793
1.25,-16.7099300018785,-15.7688771849124
1.375,-18.702426563723,-15.8974548438603
1.5,-20.7089423358011,-16.0086087149331
1.625,-22.727554579027,-16.1047945720657
1.75,-24.7562050846087,-16.1847253574464
1.875,-26.7917529876305,-16.2406184108336
2,-28.8276767023656,-16.2577263247535
