x,Dy,Rz
0,0,0
0.125,-0.698231400768835,-8.01353531602765
0.25,-2.00421115978699,-11.293186576783
0.375,-3.5812322665692,-12.9399108994856
0.5,-5.30240830784821,-13.8878456171489
0.625,-7.1101805071605,-14.4902660690186
0.75,-8.97490250075905,-14.9032118557087
0.875,-10.8798268780111,-15.2038836700126
1,-12.8148088183532,-15.4339330900779
1.125,-14.773358584568,-15.6174003377793
1.25,-16.7511323239343,-15.7688771849124
1.375,-18.7450896278668,-15.8974548438603
1.5,-20.7529636154193,-16.0086087149331
1.625,-22.7728392697,-16.1047945720657
1.75,-24.8026411228945,-16.1847253574464
1.875,-26.8391491530517,-16.2406184108336
2,-28.8755548829353,-16.2577263247535
