epochs,loss
1,0.0907476
2,0.0346073
3,0.0308286
4,0.0280525
5,0.0266055
6,0.0256792
7,0.0244659
8,0.0235563
9,0.023294
10,0.0227461
11,0.0218534
12,0.0214496
13,0.0218725
14,0.020645
15,0.020993
16,0.0200855
17,0.0200084
18,0.0196191
19,0.0212567
20,0.0192387
21,0.0187592
22,0.019097
23,0.0190854
24,0.0193025
25,0.0203401
26,0.0187091
27,0.0199353
28,0.0194599
29,0.0182907
30,0.0174257
31,0.0196123
32,0.0185816
33,0.0194495
34,0.017226
35,0.0175167
36,0.0175558
37,0.0170824
38,0.0168943
39,0.0164952
40,0.0163491
41,0.016536
42,0.0160599
43,0.0158532
44,0.016647
45,0.0159769
46,0.0152806
47,0.0151754
48,0.0158751
49,0.0148595
50,0.01489
51,0.014061
52,0.0139031
53,0.013914
54,0.0133213
55,0.0133989
56,0.0131477
57,0.0131058
58,0.0137887
59,0.0144499
60,0.0135573
61,0.0118297
62,0.012556
63,0.0112973
64,0.0120602
65,0.0116352
66,0.010973
67,0.0114988
68,0.0124813
69,0.0109785
70,0.0107078
71,0.00976692
72,0.0103364
73,0.0104447
74,0.0101068
75,0.0100331
76,0.0102675
77,0.00937379
78,0.00971178
79,0.00909107
80,0.00927077
81,0.00869073
82,0.00831046
83,0.00882359
84,0.00842407
85,0.0102818
86,0.00778944
87,0.00744926
88,0.00754528
89,0.00789251
90,0.00755397
91,0.00867639
92,0.00695314
93,0.00694751
94,0.00696603
95,0.00683433
96,0.00690449
97,0.00676321
98,0.00680882
99,0.00743687
100,0.00619867
101,0.00710364
102,0.0065963
103,0.00611375
104,0.00653981
105,0.00620021
106,0.00598931
107,0.00554289
108,0.00553347
109,0.0056683
110,0.00527837
111,0.00500148
112,0.0081138
113,0.00512495
114,0.00501119
115,0.00511536
116,0.00556429
117,0.00522311
118,0.00445267
119,0.0051385
120,0.00509592
121,0.00469403
122,0.00449258
123,0.00418393
124,0.00443858
125,0.00450926
126,0.00503941
127,0.00500212
128,0.00416448
129,0.004154
130,0.00433746
131,0.00425978
132,0.00397934
133,0.00435305
134,0.00442735
135,0.00358042
136,0.00335639
137,0.00329174
138,0.00419041
139,0.00397776
140,0.0048888
141,0.00416181
142,0.00392341
143,0.00344128
144,0.00326581
145,0.00373492
146,0.00318066
147,0.00379763
148,0.00384252
149,0.00312143
150,0.00286035
151,0.00337541
152,0.00400055
153,0.00326288
154,0.00429801
155,0.00289308
156,0.00318359
157,0.00416627
158,0.00283642
159,0.00262472
160,0.00258558
161,0.00263795
162,0.00325983
163,0.00255843
164,0.00239037
165,0.00284417
166,0.00324082
167,0.00262656
168,0.00251186
169,0.00266158
170,0.00284921
171,0.00305339
172,0.00276968
173,0.00317618
174,0.00228051
175,0.00319138
176,0.00217451
177,0.00206765
178,0.00238529
179,0.00423144
180,0.00204185
181,0.00286131
182,0.0018823
183,0.00270922
184,0.00197702
185,0.00190484
186,0.00369607
187,0.00170761
188,0.0020579
189,0.00170984
190,0.00183933
191,0.00184341
192,0.0026161
193,0.00219775
194,0.00175848
195,0.00170607
196,0.00209949
197,0.00211975
198,0.00208679
199,0.00433089
200,0.00235369
201,0.00159866
202,0.00212336
203,0.00188882
204,0.00179655
205,0.00236939
206,0.00201711
207,0.0016321
208,0.0046952
209,0.00198156
210,0.00146185
211,0.0011642
212,0.00176002
213,0.00157489
214,0.00129879
215,0.00182826
216,0.00141219
217,0.00168197
218,0.001924
219,0.00126392
220,0.00124724
221,0.00144719
222,0.00252063
223,0.00175444
224,0.00129756
225,0.00116995
226,0.00222037
227,0.00209449
228,0.00113718
229,0.000998631
230,0.00139563
231,0.00129823
232,0.00117073
233,0.00153979
234,0.00165731
235,0.00133636
236,0.00134859
237,0.00216921
238,0.00129293
239,0.000806089
240,0.00107519
241,0.000902456
242,0.00242139
243,0.00310509
244,0.000837502
245,0.000900444
246,0.00224543
247,0.00083431
248,0.00118271
249,0.00125959
250,0.000966609
251,0.00163582
252,0.000911619
253,0.00269351
254,0.000842001
255,0.000728242
256,0.000930472
257,0.00108136
258,0.00108911
259,0.0030461
260,0.00159451
261,0.00100332
262,0.00160217
263,0.000786054
264,0.00113356
265,0.00102245
266,0.00117746
267,0.00102476
268,0.000828853
269,0.0014139
270,0.000971601
271,0.00119178
272,0.00155913
273,0.000687806
274,0.00196809
275,0.000920007
276,0.000731069
277,0.000757899
278,0.000674062
279,0.000872517
280,0.00254058
281,0.00126417
282,0.000993357
283,0.00136425
284,0.000693369
285,0.00274741
286,0.00078779
287,0.000786207
288,0.000617237
289,0.00372611
290,0.00164423
291,0.000354432
292,0.000585818
293,0.00155429
294,0.000803976
295,0.00125655
296,0.000862137
297,0.000536478
298,0.00125467
299,0.000962969
300,0.0114811
301,0.000713847
302,0.000406796
303,0.000486299
304,0.000475371
305,0.000371158
306,0.000811961
307,0.000808578
308,0.00103684
309,0.000596684
310,0.000472549
311,0.000606379
312,0.00195923
313,0.00433612
314,0.00046029
315,0.000609747
316,0.000380979
317,0.000625394
318,0.000596813
319,0.00237103
320,0.000809879
321,0.000700844
322,0.0006941
323,0.000457481
324,0.00217179
325,0.00067556
326,0.000404888
327,0.000546214
328,0.00231932
329,0.000613156
330,0.000430033
331,0.00132885
332,0.000854641
333,0.00332572
334,0.000714546
335,0.000563166
336,0.000453601
337,0.000519874
338,0.000804612
339,0.00117325
340,0.0010572
341,0.00203143
342,0.00182999
343,0.000375353
344,0.000481607
345,0.000618047
346,0.000526403
347,0.00122702
348,0.000409815
349,0.00127564
350,0.00119911
351,0.000375975
352,0.00268408
353,0.000350902
354,0.00120476
355,0.000767834
356,0.00323906
357,0.000284902
358,0.000318456
359,0.000295446
360,0.000407213
361,0.00048148
362,0.00142211
363,0.00129406
364,0.00139015
365,0.000399673
366,0.00117165
367,0.000937872
368,0.000568989
369,0.0012568
